name,land_size,latitude,longitude,distance_bts,distance_mrt,price_per_sqm
ถนนเพลินจิต,835,13.7435,100.5453,2.88,2.59,250000
สุขุมวิท,1200,13.73,100.568,1.2,3.1,270000
ลาดพร้าว,950,13.81,100.571,4.5,1.0,180000
สีลม,600,13.728,100.533,0.5,2.1,290000
พระราม 9,700,13.7566,100.5652,2.9,0.6,220000
พหลโยธิน,980,13.821,100.5634,3.8,1.2,210000
บางนา,1500,13.6687,100.604,1.0,5.8,200000
จตุจักร,875,13.8284,100.5569,2.4,0.5,240000
อนุสาวรีย์ชัย,650,13.7628,100.5378,0.8,1.9,265000
ห้วยขวาง,725,13.776,100.5715,3.2,0.4,230000
